Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Jeffrey T. Diehl,Adams Street Partners,"Commercial Banks,Commercial Products,Commercial Services,Communications and Networking,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Insurance,IT Services,Media,Other Business Products and Services,Other Financial Services,Pharmaceuticals and Biotechnology,Restaurants,Hotels and Leisure,Retail,Semiconductors,Software",,"3D Printing,AdTech,Big Data,Cybersecurity,E-Commerce,EdTech,Gaming,HealthTech,Industrials,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,Mobile,Oncology,SaaS,TMT",Fund of Funds,www.adamsstreetpartners.com,"North America, South America, United States","Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Second Lien,Secondary Market,Secondary Transaction - Private,Seed","Convertible Debt,SAFE,Debt",30.00,10.00,"Chicago, IL",www.adamsstreetpartners.com,,,,,,,,,,,,,,,
Alejandro Guerrero,Act One Ventures,"Other Financial Services,Software",,"Digital Health,FinTech,HealthTech,Life Sciences,Mobile,SaaS,TMT",Venture Capital,www.actoneventures.com,"Bay Area, New York, Southern California","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.70,0.30,"Los Angeles, CA",www.actoneventures.com,,,,,,,,,,,,,,,
Sophie Endl,Active Impact Investments,"Business Products and Services (B2B),Consumer Products and Services (B2C),Energy,Information Technology,Materials and Resources",,"Climate Tech,Impact Investing",Venture Capital,www.activeimpactinvestments.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.25,0.50,"Vancouver, Canada",www.activeimpactinvestments.com,,,,,,,,,,,,,,,
Mike Winterfield,Active Impact Investments,"Business Products and Services (B2B),Consumer Products and Services (B2C),Energy,Information Technology,Materials and Resources",,"Climate Tech,Impact Investing",Venture Capital,www.activeimpactinvestments.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.25,0.50,"Vancouver, Canada",www.activeimpactinvestments.com,,,,,,,,,,,,,,,
Ronald C. Conway,Active Angel Investors,Software,,TMT,Angel Group,www.activeangelinvestors.com,"Maryland, Virginia, Washington","Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.75,0.25,"Vienna, VA",www.activeangelinvestors.com,,,,,,,,,,,,,,,
John May,Active Angel Investors,Software,,TMT,Angel Group,www.activeangelinvestors.com,"Maryland, Virginia, Washington","Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.75,0.25,"Vienna, VA",www.activeangelinvestors.com,,,,,,,,,,,,,,,
George N. Ugras,Adams Capital Management,"Communications and Networking,IT Services,Software",,"Artificial Intelligence & Machine Learning,Big Data,Cybersecurity,Manufacturing,Mobile,SaaS,TMT",Venture Capital,www.acm.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",30.00,1.00,"Sewickley, PA",www.acm.com,,,,,,,,,,,,,,,
Livingston Parsons,Accion,"Capital Markets/Institutions,Commercial Banks,Commercial Products,Commercial Services,Commercial Transportation,Communications and Networking,Computer Hardware,Consumer Products and Services (B2C),Insurance,IT Services,Other Business Products and Services,Other Financial Services,Other Information Technology,Semiconductors,Software",,"AdTech,Artificial Intelligence & Machine Learning,B2B Payments,Big Data,Cryptocurrency/Blockchain,FinTech,Impact Investing,SaaS",Impact Investing,www.accion.org,"Africa, Central America, China, Europe, Hong Kong, India, Oceania, South America, Southeast Asia, Taiwan","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.40,"Cambridge, MA",www.accion.org,,,,,,,,,,,,,,,
,Acacia Capital Partners,Software,,TMT,Venture Capital,www.acaciacp.com,Europe,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",9.67,6.05,"Cambridge, United Kingdom",www.acaciacp.com,,,,,,,,,,,,,,,
Brian Schwenk,1315 Capital,"Healthcare Services,Healthcare Technology Systems,Other Pharmaceuticals and Biotechnology,Pharmaceuticals",,"Life Sciences,Manufacturing",Growth/Expansion,www.1315capital.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",30.00,10.00,"Philadelphia, PA",www.1315capital.com,,,,,,,,,,,,,,,
Paul E. Yoo,500 Global,"Commercial Services,Computer Hardware,Media,Services (Non-Financial),Software",,"AgTech,AudioTech,Big Data,E-Commerce,FinTech,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.500.co,"Europe, India, Japan, Southeast Asia, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.30,0.10,"San Francisco, CA",www.500.co,,,,,,,,,,,,,,,
Paul Easter Yoo,500 Global,"Commercial Services,Computer Hardware,Media,Services (Non-Financial),Software",,"AgTech,AudioTech,Big Data,E-Commerce,FinTech,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.500.co,"Europe, India, Japan, Southeast Asia, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.30,0.10,"San Francisco, CA",www.500.co,,,,,,,,,,,,,,,
Daniel B. Wolfe,180 Degree Capital (NAS: TURN),"Communications and Networking,Computer Hardware,Healthcare,Information Technology,IT Services",,"CleanTech,Digital Health,HealthTech,Life Sciences",Venture Capital,www.180degreecapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Montclair, NJ",www.180degreecapital.com,,,,,,,,,,,,,,,
Justine Lee,25madison,"Business Products and Services (B2B),Consumer Non-Durables,Software",,"Artificial Intelligence & Machine Learning,AudioTech,B2B Payments,CleanTech,Climate Tech,Construction Technology,Cryptocurrency/Blockchain,Digital Health,EdTech,eSports,FemTech,FinTech,FoodTech,HealthTech,HR Tech,Impact Investing,InsurTech,Internet of Things,Marketing Tech,Micro-Mobility,Mobile,Mobility Tech,Pet Technology,Real Estate Technology,Restaurant Technology,SaaS,TMT,Virtual Reality",Accelerator/Incubator,www.25madison.com,"Canada, Israel, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.25,"New York, NY",www.25madison.com,,,,,,,,,,,,,,,
Amir Vohooshi,7 Gate Ventures,"Communications and Networking,Healthcare Devices and Supplies,Software",,"Big Data,E-Commerce,HealthTech,Mobile,SaaS,TMT",Family Office,www.7gate.vc,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Vancouver, Canada",www.7gate.vc,,,,,,,,,,,,,,,
Dmitry Kuzmin,4BIO Capital Partners,Pharmaceuticals and Biotechnology,,Life Sciences,Venture Capital,www.4biocapital.com,"Europe, United States","Early Stage,IPO,Late Stage,PE Growth/Expansion,Public Investment 2nd Offering,Seed","Convertible Debt,SAFE,Debt",10.00,3.00,"London, United Kingdom",www.4biocapital.com,,,,,,,,,,,,,,,
Marti Meyerson,2M Companies,"Healthcare,Information Technology,Software",,TMT,Family Office,www.2m.com,"Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.50,"Dallas, TX",www.2m.com,,,,,,,,,,,,,,,
Ryan Hoover,Weekend Fund,Software,,"AudioTech,Marketing Tech",Venture Capital,weekend.fund, ,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.20,0.08, ,weekend.fund,,,,,,,,,,,,,,,
Clark C. Otley,Mayo Clinic Ventures,Healthcare,,"Big Data,HealthTech,Internet of Things,Life Sciences,Oncology",Corporate Venture Capital,ventures.mayoclinic.org,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",20.00,0.25,"Rochester, MN",ventures.mayoclinic.org,,,,,,,,,,,,,,,
Robert Murray,Terranet Ventures,"Business Products and Services (B2B),Financial Services,Information Technology",,"3D Printing,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Big Data,Climate Tech,Cryptocurrency/Blockchain,Cybersecurity,E-Commerce,EdTech,FinTech,Gaming,HealthTech,Impact Investing,Infrastructure,InsurTech,Internet of Things,LOHAS & Wellness,Mobility Tech,Robotics and Drones,Supply Chain Tech,Virtual Reality,Wearables & Quantified Self",Venture Capital,terranetventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, United States","Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.00,"Philadelphia, PA",terranetventures.com,,,,,,,,,,,,,,,
Stephen Cousineau,The Chernin Group,"Healthcare Services,Media,Other Financial Services,Retail,Services (Non-Financial),Software",,"AdTech,AudioTech,Digital Health,E-Commerce,EdTech,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,Impact Investing,LOHAS & Wellness,Mobile,Mobile Commerce,TMT",PE/Buyout,tcg.co,"Europe, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",85.00,5.00,"Los Angeles, CA",tcg.co,,,,,,,,,,,,,,,
Hongkai He,Taihill Venture,"Agriculture,Business Products and Services (B2B),Capital Markets/Institutions,Chemicals and Gases,Energy,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Information Technology,Metals,Minerals and Mining,Other Healthcare,Other Materials,Pharmaceuticals and Biotechnology,Textiles",,"Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Big Data,CleanTech,Cryptocurrency/Blockchain,Digital Health,FinTech,HealthTech,Impact Investing,Industrials,Infrastructure,Internet of Things,Life Sciences,Manufacturing,Nanotechnology,Oncology,Pet Technology,Robotics and Drones,Space Technology,Supply Chain Tech,TMT,Wearables & Quantified Self",Venture Capital,taihill.vc,"China, Hong Kong, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Boston, MA",taihill.vc,,,,,,,,,,,,,,,
Bob Rees,Startup Capital Ventures,Software,,"Cybersecurity,Digital Health,FinTech,HealthTech,Internet of Things,SaaS,TMT",Venture Capital,startupcv.com,"California, Hawaii","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Menlo Park, CA",startupcv.com,,,,,,,,,,,,,,,
Jeremy Crider,Speedinvest,"Communications and Networking,Consumer Products and Services (B2C),Financial Services,Healthcare,Industrial Supplies and Parts,Software",,"Artificial Intelligence & Machine Learning,Autonomous cars,B2B Payments,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,FemTech,FinTech,FoodTech,HealthTech,Industrials,InsurTech,Manufacturing,Mobility Tech,Mortgage Tech,SaaS,Supply Chain Tech",Venture Capital,speedinvest.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.71,0.06,"Vienna, Austria",speedinvest.com,,,,,,,,,,,,,,,
John L. Steffens,Spring Mountain Capital,"Healthcare Services,Healthcare Technology Systems,IT Services,Software",,"AdTech,Artificial Intelligence & Machine Learning,Big Data,Cybersecurity,E-Commerce,FinTech,HealthTech,Internet of Things,Life Sciences,Marketing Tech,Mobile,SaaS",Growth/Expansion,smcgrowthcapital.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",15.00,5.00,"New York, NY",smcgrowthcapital.com,,,,,,,,,,,,,,,
Yoshihiko Kinoshita,Skyland Ventures,"Commercial Services,Software",,"Cryptocurrency/Blockchain,TMT",Venture Capital,skyland.vc, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.73,0.04,"Tokyo, Japan",skyland.vc,,,,,,,,,,,,,,,
Igor Bogachev,Skolkovo Foundation,Software,,"CleanTech,Life Sciences,TMT",Limited Partner,sk.ru,Russia,"Buy-out,Early Stage,Late Stage,Seed",Grant,5.00,1.00,"Moscow, Russia",sk.ru,,,,,,,,,,,,,,,
Ross Kimbel,Silicon Road,"Consumer Non-Durables,Other Consumer Products and Services,Other Information Technology,Retail",,"E-Commerce,FoodTech",Venture Capital,siliconroad.vc/us,"India, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Atlanta, GA",siliconroad.vc/us,,,,,,,,,,,,,,,
Hazel Chen,Shima Capital,Information Technology,,Cryptocurrency/Blockchain,Venture Capital,shima.capital, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.50, ,shima.capital,,,,,,,,,,,,,,,
Leonid Boguslavsky,RTP Global,"Business Products and Services (B2B),Consumer Finance,Healthcare Services,Healthcare Technology Systems,Insurance,Media,Services (Non-Financial),Software",,"AgTech,Artificial Intelligence & Machine Learning,B2B Payments,Big Data,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,HealthTech,HR Tech,InsurTech,LOHAS & Wellness,Micro-Mobility,Mobility Tech,Real Estate Technology,SaaS",Venture Capital,rtp-global.com,"Europe, India, Southeast Asia, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",8.00,3.00,"London, United Kingdom",rtp-global.com,,,,,,,,,,,,,,,
Bruce Eric Clarke,PBJ Capital,"Healthcare,Other Information Technology,Software",,TMT,Venture Capital,pbjcapital.com, ,"Early Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Boston, MA",pbjcapital.com,,,,,,,,,,,,,,,
Amelia Gandara,Nationwide Ventures,"Business/Productivity Software,Commercial Services,Commercial Transportation,Financial Software,Insurance,IT Services,Other Business Products and Services,Other Consumer Products and Services,Other Financial Services,Other Information Technology,Other Software,Services (Non-Financial),Transportation",,"AgTech,Cybersecurity,FinTech,HR Tech,InsurTech,Micro-Mobility",Corporate Venture Capital,nationwideventures.com,"Israel, United States","Early Stage,Late Stage","Convertible Debt,SAFE,Debt",5.00,1.00,"Columbus, OH",nationwideventures.com,,,,,,,,,,,,,,,
Matías Nisenson,Myelin VC,"Beverages,Food Products,Healthcare,Software",,"FoodTech,HealthTech,Life Sciences,SaaS",Venture Capital,myelin.vc, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"Buenos Aires, Argentina",myelin.vc,,,,,,,,,,,,,,,
Nobuhiro Seki,Monozukuri Ventures,"Apparel and Accessories,Computer Hardware,Healthcare,Other Energy",,"3D Printing,Advanced Manufacturing,CleanTech,HealthTech,Industrials,Internet of Things,Manufacturing,Robotics and Drones,Space Technology,Wearables & Quantified Self",Venture Capital,monozukuri.vc,"Japan, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"Kyoto City, Japan",monozukuri.vc,,,,,,,,,,,,,,,
Sarah Mooney,MassLight,"Business Products and Services (B2B),Financial Services,Healthcare,Information Technology",,TMT,Accelerator/Incubator,masslight.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"Washington, DC",masslight.com,,,,,,,,,,,,,,,
Abby Trotter,Launch Tennessee,"Business Products and Services (B2B),Consumer Products and Services (B2C),Energy,Financial Services,Healthcare,Information Technology,Materials and Resources",,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Beauty,Big Data,Cannabis,Car-Sharing,CleanTech,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,Ephemeral Content,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,Industrials,Infrastructure,InsurTech,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mortgage Tech,Nanotechnology,Oil & Gas,Oncology,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,Space Technology,TMT,Virtual Reality,Wearables & Quantified Self",Venture Capital,launchtn.org,Tennessee,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,5.00,"Nashville, TN",launchtn.org,,,,,,,,,,,,,,,
Vinod Jose,Konglo Ventures,"Buildings and Property,Financial Services,Healthcare Devices and Supplies,Real Estate Services (B2C),Software",,"Artificial Intelligence & Machine Learning,B2B Payments,Big Data,Construction Technology,E-Commerce,EdTech,FinTech,HealthTech,HR Tech,Marketing Tech,Mobile,Mortgage Tech,Real Estate Technology,SaaS,TMT",Venture Capital,kongloventures.com,"Europe, India, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Cochin, India",kongloventures.com,,,,,,,,,,,,,,,
Edgar Hardless,Singtel Innov8,Software,,TMT,Corporate Venture Capital,innov8.singtel.com,"Asia, Australia, Europe, Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",22.07,0.07,"Singapore, Singapore",innov8.singtel.com,,,,,,,,,,,,,,,
Michael G. Borrus,Wilson Hill Ventures,"Healthcare,Information Technology",,"Advanced Manufacturing,Artificial Intelligence & Machine Learning,CleanTech,Life Sciences,Mobility Tech,Robotics and Drones,Space Technology",Venture Capital,https://www.wilsonhillvc.com/,"Southern California, West Coast","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"San Francisco, CA",,,,,,,,,,,,,,,,
Kay Enjoji,TEL Venture Capital,Commercial Products,,"Manufacturing,Nanotechnology,TMT",Corporate Venture Capital,https://www.tel.com/rd/telvc/index.html,"Asia, United Kingdom, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.20,"Fremont, CA",,,,,,,,,,,,,,,,
Neil V. Sunderland,Montreux Equity Partners,"Healthcare Devices and Supplies,Healthcare Services,Pharmaceuticals,Software",,HealthTech,Growth/Expansion,https://www.mepvc.com/,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",20.00,10.00,"San Francisco, CA",,,,,,,,,,,,,,,,
Richard Chen,Iterative Ventures,Software,,TMT,Angel (individual),https://www.iterativeventure.com/,Asia,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.10,0.03,"San Francisco, CA",,,,,,,,,,,,,,,,
Stéphane Simoncini,Crédit Mutuel Innovation,Telecommunications Service Providers,,"CleanTech,Life Sciences",Venture Capital,https://www.creditmutuel-innovation.eu/fr/index.html,Europe,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",22.60,1.13,"Paris, France",,,,,,,,,,,,,,,,
Chidozie Ugwumba,SymBiosis,"Biotechnology,Other Pharmaceuticals and Biotechnology,Pharmaceuticals",,Life Sciences,Angel Group,https://symbiosis.vc/team-member/chidozie-ugwumba/,"Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",30.00,3.00,"Bentonville, AR",,,,,,,,,,,,,,,,
Wayne L. Hunter,Harbert Growth Partners,"Application Software,Biotechnology,BPO/Outsource Services,Communication Software,Communications and Networking,Diagnostic Equipment,Medical Supplies,Other Healthcare Services,Other Healthcare Technology Systems,Other Information Technology,Security Services (B2B),Semiconductors,Social Content,Surgical Devices,Therapeutic Devices",,"Cybersecurity,E-Commerce,FinTech,HealthTech,Infrastructure,Internet of Things,Mobile,Real Estate Technology,SaaS",Growth/Expansion,https://harbert.net/tag/harbert-growth-partners/,"DC Metro, Mid Atlantic, Midwest, Mountain, New York Metro, South, Southeast","Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",10.00,5.00,"Richmond, VA",,,,,,,,,,,,,,,,
William Neal,Piedmont Venture Partners,Software,,TMT,Venture Capital,http://www.piedmontpartnersgroup.com/,"North Carolina, South Carolina","Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.50,"Charlotte, NC",,,,,,,,,,,,,,,,
